"AmbientPOS Export (Cash Drawer)"
"Export Branch",213
"Data From",19/05/2019,00:00:00
"Data to",19/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-19,16:42:50,1905190021300186,POS,0.00,0.00,0.00,240.00,cashier," "
,2019-05-19,16:42:50,1905190021300186,POS,0.00,0.00,0.00,-20.00,cashier," "
,2019-05-19,16:21:14,1905190021300185,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,16:21:14,1905190021300185,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,16:14:59,1905190021300184,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,16:02:45,1905190021300183,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:00:54,1905190021300182,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:59:51,1905190021300181,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:56:55,1905190021300180,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:56:55,1905190021300180,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,15:45:44,1905190021300179,POS,0.00,0.00,0.00,95.00,cashier," "
,2019-05-19,15:45:44,1905190021300179,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,15:38:14,1905190021300177,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:38:14,1905190021300177,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,15:37:38,1905190021300176,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:30:31,1905190021300175,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:30:31,1905190021300175,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:30:31,1905190021300175,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,15:28:01,1905190021300174,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:27:20,1905190021300173,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:27:20,1905190021300173,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:22:45,จ่ายค่าน้ำแข็ง,"Cash Out",0.00,0.00,210.00,0.00,cashier,
,2019-05-19,15:21:11,1905190021300172,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:21:11,1905190021300172,POS,0.00,0.00,0.00,80.00,cashier," "
,2019-05-19,15:21:03,1905190021300171,POS,0.00,0.00,0.00,65.00,cashier," "
