"HAHAMA-RBS5
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",,Profit,"Consumption amount","Out gift amount","Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: 42-Inch Crocodile Battle ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"42-Inch Crocodile Battle","Return Tickets",0045,"42-Inch Crocodile Battle 1.1",,,$212.00,,,,,,212.00,$212.00,,,,,,,,,,$212.00,$18.00,$230.00,,,,"0.00 %",,,,,12,,,No
,,"42-Inch Crocodile Battle","Return Tickets",0046,"42-Inch Crocodile Battle 1.2",,,$76.00,,,,,,76.00,$76.00,,,,,,,,,,$76.00,,$76.00,,,,"0.00 %",,,,,4,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$288.00,0.00,,,,,288.00,$288.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$288.00,$18.00,$306.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Ace Angler 6P ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ace Angler 6P","Return Tickets",003c,"Ace Angler 6P 1",,,$107.00,,,,,,107.00,$107.00,,,,,,,,,,$107.00,,$107.00,,,,"0.00 %",,,,,11,,,No
,,"Ace Angler 6P","Return Tickets",003d,"Ace Angler 6P 2",,,$77.00,,,,,,77.00,$77.00,,,,,,,,,,$77.00,,$77.00,,,,"0.00 %",,,,,8,,,No
,,"Ace Angler 6P","Return Tickets",003e,"Ace Angler 6P 3",,,$49.00,,,,,,49.00,$49.00,,,,,,,,,,$49.00,,$49.00,,,,"0.00 %",,,,,5,,,No
,,"Ace Angler 6P","Return Tickets",003f,"Ace Angler 6P 4",,,$89.00,,,,,,89.00,$89.00,,,,,,,,,,$89.00,,$89.00,,,,"0.00 %",,,,,9,,,No
,,"Ace Angler 6P","Return Tickets",0041,"Ace Angler 6P 6",,,$29.00,,,,,,29.00,$29.00,,,,,,,,,,$29.00,,$29.00,,,,"0.00 %",,,,,3,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$351.00,0.00,,,,,351.00,$351.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$351.00,$0.00,$351.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Air Hockey ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Air Hockey","Return Tickets",0058,"Air Hockey L 1.1",,,$278.00,,,,,,278.00,$278.00,,,,,,,,,,$278.00,,$278.00,,,,"0.00 %",,,,,15,,,No
,,"Air Hockey","Return Tickets",0059,"Air Hockey L 1.2",,,$596.00,,,,,,596.00,$596.00,,,,,,,,,,$596.00,,$596.00,,,,"0.00 %",,,,,31,,,No
