"Esplande MniLand
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",Profit,"Consumption amount","Out gift amount",,"Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: Amazing Station ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Amazing Station","Prize Machine",0136,"Amazing Station",,$20.00,,,,,,,20.00,$20.00,,,,,,,,,,$20.00,,$20.00,,,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$20.00,0.00,,,,,,20.00,$20.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$20.00,$0.00,$20.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Cowboy Island ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cowboy Island","Prize Machine",0135,"CowBoy Island",,$10.00,,,,,,,10.00,$10.00,,,,,,,,,,$10.00,,$10.00,,,,"0.00 %",,,,,1,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$10.00,0.00,,,,,,10.00,$10.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$10.00,$0.00,$10.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Crazy Monster ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Crazy Monster","Prize Machine",016D,"Crazy Monster 1",,$80.00,,,,,,,80.00,$80.00,,,,,,,,,,$80.00,,$80.00,,,,"0.00 %",,,,,8,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$80.00,0.00,,,,,,80.00,$80.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$80.00,$0.00,$80.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Cyclone ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cyclone,"Prize Machine",0141,"Cyclone 1",,$9.00,,,,,,,9.00,$9.00,,,,,,,,,,$9.00,,$9.00,,,,"0.00 %",,,,,1,,,No
,,Cyclone,"Prize Machine",0142,"Cyclone 2",,$39.00,,,,,,,39.00,$39.00,,,,,,,,,,$39.00,,$39.00,,,,"0.00 %",,,,,4,,,No
,,Cyclone,"Prize Machine",0143,"Cyclone 3",,$86.00,,,,,,,86.00,$86.00,,,,,,,,,,$86.00,,$86.00,,,,"0.00 %",,,,,9,,,No
,,Cyclone,"Prize Machine",0144,"Cyclone 4",,$38.00,,,,,,,38.00,$38.00,,,,,,,,,,$38.00,,$38.00,,,,"0.00 %",,,,,4,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
