"Esplande MniLand
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PlayStation Type",Profit,"Consumption amount","Out gift amount","Gift rate","Win rate","Ticket rate","Single Coin ticketing rate",,"Gross profit","Profit ratio",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts",Times,"Machine Qty","Average Token A","Average Token B","Play times",Partner,"Is test data"
,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,
"Amazing Station",,$154.00,,,,,,,154.00,"0.00 %",$154.00,,,,,,,,,,$154.00,,$154.00,,,,,1,,,16,,No
"Cowboy Island",,$149.00,,,,,,,149.00,"0.00 %",$149.00,,,,,,,,,,$149.00,,$149.00,,,,,1,,,15,,No
"Crazy Monster",,$118.00,,,,,,,118.00,"0.00 %",$118.00,,,,,,,,,,$118.00,,$118.00,,,,,1,,,12,,No
Cyclone,,$654.00,,,654.00,,,,654.00,"0.00 %",$654.00,,,,,,,,,,$654.00,,$654.00,,,1,,4,,,69,,No
Cycloneonline,,$386.00,,,386.00,,,,386.00,"0.00 %",$386.00,,,,,,,,,,$386.00,,$386.00,,,1,,4,,,40,,No
"Danz Base",,$80.00,,,,,,,80.00,"0.00 %",$80.00,,,,,,,,,,$80.00,,$80.00,,,,,1,,,8,,No
"Dead Strom Pirates",,$786.00,,,,,,,786.00,"0.00 %",$786.00,,,,,,,,,,$786.00,,$786.00,,,,,1,,,84,,No
"Dragon Punch",,$338.00,,,,,,,338.00,"0.00 %",$338.00,,,,,,,,,,$338.00,,$338.00,,,,,2,,,34,,No
"Drop A Prize",,$240.00,,,,,,,240.00,"0.00 %",$240.00,,,,,,,,,,$240.00,,$240.00,,,,,1,,,24,,No
"Fishing King 10 P.",,$379.00,,,,19.63,,,379.00,"0.00 %",$379.00,,,,,,,,,,$379.00,,$379.00,,7440,,,9,,,38,,No
"Gun Bullet X",,$80.00,,,,,,,80.00,"0.00 %",$80.00,,,,,,,,,,$80.00,,$80.00,,,,,1,,,8,,No
"Hero Crane",,$74.00,,,,,,,74.00,"0.00 %",$74.00,,,,,,,,,,$74.00,,$74.00,,,,,2,,,8,,No
"Hit The Beat",,$47.00,,,,,,,47.00,"0.00 %",$47.00,,,,,,,,,,$47.00,,$47.00,,,,,1,,,5,,No
"Hocky 2000",,$158.00,,,,20.20,,,158.00,"0.00 %",$158.00,,,,,,,,,,$158.00,,$158.00,,3192,,,2,,,16,,No
"House Of The Dead",,$117.00,,,,,,,117.00,"0.00 %",$117.00,,,,,,,,,,$117.00,,$117.00,,,,,1,,,12,,No
"Jurassic Park",,$531.00,,,,,,,531.00,"0.00 %",$531.00,,,,,,,,,,$531.00,,$531.00,,,,,1,,,54,,No
"King Of The Hammer",,$214.00,,,,,,,214.00,"0.00 %",$214.00,,,,,,,,,,$214.00,,$214.00,,,,,1,,,22,,No
MaiMai,,$10.00,,,,,,,10.00,"0.00 %",$10.00,,,,,,,,,,$10.00,,$10.00,,,,,1,,,1,,No
"Master Speed",,$218.00,,,,5.57,,,218.00,"0.00 %",$218.00,,,,,,,,,,$218.00,,$218.00,,1215,,,2,,,22,,No
"Midnight DX 5 Eco",,$504.00,,,,,,,504.00,"0.00 %",$504.00,,,,,,,,,,$504.00,,$504.00,,,,,4,,,17,,No
"Midnight DX 5 Master",,$390.00,,,,,,,390.00,"0.00 %",$390.00,,,,,,,,,,$390.00,,$390.00,,,,,4,,,14,,No
"Mini Crane",,$629.00,,,,,,,629.00,"0.00 %",$629.00,,,,,,,,,,$629.00,,$629.00,,,,,4,,,66,,No
"Mini Key",,$174.00,,,,,,,174.00,"0.00 %",$174.00,,,,,,,,,,$174.00,,$174.00,,,,,1,,,18,,No
"Mini Mario",,$727.00,,,,,,,727.00,"0.00 %",$727.00,,,,,,,,,,$727.00,,$727.00,,,,,3,,,76,,No
"Naughty Beans",,$38.00,,,,7.89,,,38.00,"0.00 %",$38.00,,,,,,,,,,$38.00,,$38.00,,300,,,1,,,4,,No
"Percussion Master",,$158.00,,,,,,,158.00,"0.00 %",$158.00,,,,,,,,,,$158.00,,$158.00,,,,,1,,,16,,No
Pinball,,$116.00,,,,,,,116.00,"0.00 %",$116.00,,,,,,,,,,$116.00,,$116.00,,,,,1,,,12,,No
"Pump It Up",,$294.00,,,,,,,294.00,"0.00 %",$294.00,,,,,,,,,,$294.00,,$294.00,,,,,1,,,10,,No
"Q Crane",,$295.00,,,,,,,295.00,"0.00 %",$295.00,,,,,,,,,,$295.00,,$295.00,,,,,4,,,31,,No
"Rodeo King",,$189.00,,,,,,,189.00,"0.00 %",$189.00,,,,,,,,,,$189.00,,$189.00,,,,,1,,,19,,No
"Shooting Junior",,$80.00,,,,,,,80.00,"0.00 %",$80.00,,,,,,,,,,$80.00,,$80.00,,,,,2,,,8,,No
Show-time,,$954.00,,,,,,,954.00,"0.00 %",$954.00,,,,,,,,,,$954.00,,$954.00,,,,,1,,,106,,No
"Speed Rider 2",,$306.00,,,,,,,306.00,"0.00 %",$306.00,,,,,,,,,,$306.00,,$306.00,,,,,2,,,32,,No
"Super MVP 3",,$464.00,,,,,,,464.00,"0.00 %",$464.00,,,,,,,,,,$464.00,,$464.00,,,,,2,,,48,,No
"Sweet Toy",,$740.00,,,740.00,,,,740.00,"0.00 %",$740.00,,,,,,,,,,$740.00,,$740.00,,,1,,3,,,78,,No
"TOY Soldier 2",,$872.00,,,218.00,,,,872.00,"0.00 %",$872.00,,,,,,,,,,$872.00,$5.00,$877.00,,,4,,4,,,94,,No
"Walking Dead",,$291.00,,,,,,,291.00,"0.00 %",$291.00,,,,,,,,,,$291.00,,$291.00,,,,,1,,,30,,No
Total,0,"$11,954.00",0.00,"0.00 %","1,707.71",1.02,0.00,,"11,954.00","0.00 %","$11,954.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$11,954.00",$5.00,"$11,959.00",0,12147,7,0,,,,"1,167",,
