"AmbientPOS Export"
"Export Branch",1
"Data From","2019-12-12 00:00:00"
"Data From","2019-12-12 23:59:59"
,ServiceNo,Status,"Date/Time Order","Menu Code",Type,"Menu Name",Quantity,"Unit Price",Topup,Discount,"Total Price","Line Amount",VAT,PaidBy,Cashier
1,8945,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",4,0,,,0,0,0,Wahlap,
2,8948,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",7,0,,,0,0,0,Wahlap,
3,8943,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",6,0,,,0,0,0,Wahlap,
4,8946,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",5,0,,,0,0,0,Wahlap,
5,8944,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",5,0,,,0,0,0,Wahlap,
6,8947,Normal,"12/12/2019 00:00:00",,,"Ace Angler 6 P.",6,0,,,0,0,0,Wahlap,
7,8951,Normal,"12/12/2019 00:00:00",,,"Air Hocky",3,0,,,0,0,0,Wahlap,
8,8954,Normal,"12/12/2019 00:00:00",,,"Air Hocky",1,0,,,0,0,0,Wahlap,
9,8949,Normal,"12/12/2019 00:00:00",,,"Air Hocky",5,0,,,0,0,0,Wahlap,
10,8952,Normal,"12/12/2019 00:00:00",,,"Air Hocky",1,0,,,0,0,0,Wahlap,
11,8955,Normal,"12/12/2019 00:00:00",,,"Air Hocky",2,0,,,0,0,0,Wahlap,
12,8950,Normal,"12/12/2019 00:00:00",,,"Air Hocky",3,0,,,0,0,0,Wahlap,
13,8953,Normal,"12/12/2019 00:00:00",,,"Air Hocky",1,0,,,0,0,0,Wahlap,
14,8956,Normal,"12/12/2019 00:00:00",,,"Air Hocky",4,0,,,0,0,0,Wahlap,
15,8957,Normal,"12/12/2019 00:00:00",,,"Beat Mania",18,0,,,0,0,0,Wahlap,
16,8958,Normal,"12/12/2019 00:00:00",,,"Bishi Bashi",6,0,,,0,0,0,Wahlap,
17,8960,Normal,"12/12/2019 00:00:00",,,"Coconut Bash Twin",2,0,,,0,0,0,Wahlap,
18,8959,Normal,"12/12/2019 00:00:00",,,"Coconut Bash Twin",2,0,,,0,0,0,Wahlap,
19,8961,Normal,"12/12/2019 00:00:00",,,"Cosmo Gang",2,0,,,0,0,0,Wahlap,
20,8962,Normal,"12/12/2019 00:00:00",,,"Cosmo Gang",5,0,,,0,0,0,Wahlap,
21,8963,Normal,"12/12/2019 00:00:00",,,"Crazy Monster",7,0,,,0,0,0,Wahlap,
22,8964,Normal,"12/12/2019 00:00:00",,,"Crazy Monster",5,0,,,0,0,0,Wahlap,
23,8965,Normal,"12/12/2019 00:00:00",,,"Crocodile Panic",3,0,,,0,0,0,Wahlap,
24,8966,Normal,"12/12/2019 00:00:00",,,"Dance Dance Revolution",9,0,,,0,0,0,Wahlap,
25,8967,Normal,"12/12/2019 00:00:00",,,"Dance Rush",24,0,,,0,0,0,Wahlap,
26,8968,Normal,"12/12/2019 00:00:00",,,"Danz Base",28,0,,,0,0,0,Wahlap,
27,8969,Normal,"12/12/2019 00:00:00",,,"Defender Lolipop",2,0,,,0,0,0,Wahlap,
28,8970,Normal,"12/12/2019 00:00:00",,,"Defender Lolipop",2,0,,,0,0,0,Wahlap,
29,8971,Normal,"12/12/2019 00:00:00",,,"Dragon Punch",36,0,,,0,0,0,Wahlap,
30,8972,Normal,"12/12/2019 00:00:00",,,"Dragon Punch",29,0,,,0,0,0,Wahlap,
31,8974,Normal,"12/12/2019 00:00:00",,,"Drop A Prize",16,0,,,0,0,0,Wahlap,
32,8973,Normal,"12/12/2019 00:00:00",,,"Drop A Prize",8,0,,,0,0,0,Wahlap,
33,8975,Normal,"12/12/2019 00:00:00",,,Drummania,26,0,,,0,0,0,Wahlap,
34,8976,Normal,"12/12/2019 00:00:00",,,Explorer,2,0,,,0,0,0,Wahlap,
35,8977,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",4,0,,,0,0,0,Wahlap,
36,8980,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,Wahlap,
37,8983,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",2,0,,,0,0,0,Wahlap,
38,8978,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",2,0,,,0,0,0,Wahlap,
39,8981,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,Wahlap,
40,8984,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,Wahlap,
41,8979,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",5,0,,,0,0,0,Wahlap,
42,8982,Normal,"12/12/2019 00:00:00",,,"Fishing King 10 P.",2,0,,,0,0,0,Wahlap,
43,8988,Normal,"12/12/2019 00:00:00",,,"Funny Claw",14,0,,,0,0,0,Wahlap,
44,8991,Normal,"12/12/2019 00:00:00",,,"Funny Claw",12,0,,,0,0,0,Wahlap,
45,8994,Normal,"12/12/2019 00:00:00",,,"Funny Claw",49,0,,,0,0,0,Wahlap,
46,8997,Normal,"12/12/2019 00:00:00",,,"Funny Claw",17,0,,,0,0,0,Wahlap,
47,9000,Normal,"12/12/2019 00:00:00",,,"Funny Claw",17,0,,,0,0,0,Wahlap,
48,8986,Normal,"12/12/2019 00:00:00",,,"Funny Claw",22,0,,,0,0,0,Wahlap,
49,8989,Normal,"12/12/2019 00:00:00",,,"Funny Claw",18,0,,,0,0,0,Wahlap,
50,8992,Normal,"12/12/2019 00:00:00",,,"Funny Claw",9,0,,,0,0,0,Wahlap,
51,8995,Normal,"12/12/2019 00:00:00",,,"Funny Claw",26,0,,,0,0,0,Wahlap,
52,8998,Normal,"12/12/2019 00:00:00",,,"Funny Claw",71,0,,,0,0,0,Wahlap,
53,8987,Normal,"12/12/2019 00:00:00",,,"Funny Claw",18,0,,,0,0,0,Wahlap,
54,8990,Normal,"12/12/2019 00:00:00",,,"Funny Claw",52,0,,,0,0,0,Wahlap,
55,8993,Normal,"12/12/2019 00:00:00",,,"Funny Claw",40,0,,,0,0,0,Wahlap,
56,8996,Normal,"12/12/2019 00:00:00",,,"Funny Claw",8,0,,,0,0,0,Wahlap,
57,8999,Normal,"12/12/2019 00:00:00",,,"Funny Claw",19,0,,,0,0,0,Wahlap,
